Username,Comment,Likes
choigaeeeun_,오늘 저녁은 왕뚜껑 먹어야겠네,0
oximaca,se eu comprar esse miojo ai eu vou aprender a jogar? se eu aprender a jogar pegue meu dinheiro.,0
fatima_kookie84,CEREMONY!! 🔥👏,0
lixmuu,Stray kids 😍,0
1uzbv15,CEREMONY!,0
bangchansglutesmaximusbigass,"Bro, you appeared in Stray Kids' MV and it really surprised me.",0
stargarenum,The food that elo boosts you,0
bc.thedreamer,We were very happy to see you together with Stray Kids 🥳💕,0
m__s.ir,فارسی؟ 😍👏👏,0
aniceshine,Cool in CEREMONY😍🔥,0
linos_love_for_soonie,Felix is probably still kicking his legs like a happy child,0
tim.pro5,Аж лапшы захотелось 😂❤️,0
nariddyang,대상혁,0
