Username,Comment,Likes
4st1n_,BOYWITHUKE MENTIONED RAHHHHHHH🔥🔥🔥🔥🔥🔥🔥,0
w.an_br,NO WAY U ADDED BOYWITHUKE awh he was my favourite in 2021-2023 but dude pls do conan gray (d4vd is so real(,0
elitebwu,BOYWITHUKE MENTIONED OMG,0
sungsitoo,BOYWITHUKE OMFG 😭🙏,0
vi0l3ta_a,BOYWITHUKE MENTIONED???? OMGGGG SOMEONE SEND THIS TO HIM OMG OMG !!!!!!,0
char_ley_only,Boywithuke fit go hard,0
zhenxuan_._,NAH THAT FIT on boywithuke IS GREAT,0
sara.mi.xx,I really love your hoodies collection!! Which one is your fav?,0
not_antoine_,What’s that jumper in ur second outfit??,0
gurleen__k17,"Yess, boywithuke is so accurate, he’s my favourite",0
someonewithoutuke,Me entire video: 😐 Me at the end: 🤯,0
juni_lu29,Can you do Dominic fike???,0
kye0o,how long did editing that intro take goddamn,0
kiwi.c00kie,Can you do StrayKids next please ?? 🙏🙏🙏🙏🙏,0
kam_shaik_,"Damn @austinbchen , glad to see you’re back at it again with these amazing fits and sick reels bro. Love the fits fit and the leather jacket one, those on hit hard bro! 🔥🔥🔥",0
@austinbchen,"Damn @austinbchen , glad to see you’re back at it again with these amazing fits and sick reels bro. Love the fits fit and the leather jacket one, those on hit hard bro! 🔥🔥🔥",0
