Username,Comment,Likes
haikuuls,WHERE CAN I LISTEN TO THE FULL VERSION PLS OMG 😭😭😭,0
don.longgo,BEST SONG FROM THE MOVIE😭😭😭😭,0
officialkathydekeurt,"Dabin you have to put it on Spotify already.. you have to,.. and I hope we will get this remix🔥🔥😭😍",0
jesspeeps,YEEEESSSSSSSSS OMMMMFFFFFGGGGGGGGGGGGGG 😭😭😭🔥🔥🔥🔥,0
audreynuna,Yuh.,0
rayvolpe,YEAHHHHHH,0
kylevzyl02,This song is by far the best song in the Film,0
ammeerrss,IM CRYINGGGGG,0
alex_neufer22,FREE IS THE BEST SONG IN THE SHOW I SAID IT 🗣️🗣️🗣️,0
jenniezhengg,please play this at Boston 🙏🏻🙏🏻,0
maxmusic,Oh hell yeah,0
heeelen_to,PLAY IT IN LA AUG 23❤️❤️❤️❤️,0
mya.tran,so when r u playing this in sydney 😀😀😭,0
gllittergoddess,I DIDNT THINK FREE COULD GET ANY BETTER 😭😭😭,0
mjtwinart,다빈이 연 혼문..,0
alexia_pupo,The crowd is not going crazy enough for me. Literal chills 😭,0
nalumonphotography,I love all the DJs all around being untied by kpop demon hunters and making their own remix versions of the tracks 😫😭❤️ we all sealing the Honmon together 🙌,0
nopain_ngogain,YESSSS CANT WAIT TO HEAR THIS AT CONCOURSE 🥹,0
sadboiheadquarters,Need this on Spotify what the 😭,0
ashyi,DUDE YESSSSSSS🔥🔥🔥🔥,0
jasonbugallon,@christianseacat if he plays this in Give Thanks ima start crying,0
@christianseacat,@christianseacat if he plays this in Give Thanks ima start crying,0
jgren503,Why doesn’t this exist yet bruh 😢,0
awelter750,Dabin out here doing hunter work keeping people's souls lit ❤️🔥,0
mariyamkhan____,Wait now I need Jinu's part remix,0
kdnotuzi,OH YA CALGARY WE GOT POSTED 🫶🏽,0
lookbookyao,BADDIE SHIELD GOING UP,0
djmalig,So goooooood 😭😭😭😭😭,0
king_llanera,"1,801 likes",0
alliestrasza_,Wait a damn second “free” was meant to be a Dabin EDM song,0
chefupk,Guess its time to go back to an edm show,0
aviad_haokip0,This show is overrated in my opinion I can’t watch it it’s to cringe 😢,0
baaittyy,"It’s been like 2 months, @republicrecords just authorized the drop already 😭🥀",0
@republicrecords,"It’s been like 2 months, @republicrecords just authorized the drop already 😭🥀",0
mattyelmy,Spotify? 😍😂,0
lialeanna,THIS WAS PEAK HEARING IT FOR THE FIRST TIME AT FVDED LAST WEEKEND <33 i was screaming every lyric,0
brandonkiyoshi,I need to see this live 😭😭,0
jasmine.the.human,Yeah anyways Brb cuz IM SOBBING,0
legit_metallicer117,This movie is healing humanity,0
iantorres0718,Need this on Apple Music asap,0
bogi.barbi19,Hol van ilyen koncert? Szeretnék elmenni,0
lilyadore,OMGGGGGGGGG,0
saranewin,@reca.t 🔥🔥🔥,0
@reca.t,@reca.t 🔥🔥🔥,0
freiheitmusic,🔥🔥🔥,0
sneezy.offic,The best song still the geisha song 🙌,0
mikim.zip,Ayy my message is in the montage,0
thatsbebs_,YAAAAAS WE GOT TO WITNESS THIS AT THE RAILS LAST NIGHT 😍,0
thecorgistory,amazing 🤩🥺🥹👏,0
sniknejeinahpets,The dropppppp 🔥🙌❤️,0
jxsh_chxplin7,We need thisss 🔥🔥🔥,0
tripowerpuff,😭😭😭🙌😍,0
christinzee,🔥😭😍,0
jdubbsss,🔥🔥🔥😍😍,0
its.darry_,Dude when'll this goin to be release on yt. I rlly want to listen to it rn😭🔥,0
chvqry,"WOAH, EJAE REPOSTED!",0
blegh_arce,Spotify when?!,0
letsjustseaofficial,"Omg this at Veld please! 🙏 And if you need backup dancers for Golden, I know a trio 😌",0
teri.fam,This is so euphoric 😭😭😭 I need this LIVE,0
itsuzii,"Brb, making a violin cover to this song right now @dabinmusic",0
@dabinmusic,"Brb, making a violin cover to this song right now @dabinmusic",0
masatomusic_,yesss😍,0
dyllanloveless,Remixes shouldn't change the entire sound. I REALLY like this. Well done.,0
matttliu,WE MADE IT TO THE POST LFG 🫶🏻,0
chrsx_chun,Play it this weekend in Hawaii🤘,0
badju.ju,Needed this so bad 😭😭😭,0
omgoshbrii,Will you be playing this on your current tour!? 🙏,0
le_nafay,HARD!,0
treetimebek,Just levitated in my living room,0
m___kjm.25,plz release this on Spotify🥺,0
amandeeezy,Ok but on repeat cause I’m in my feelzzz🔥,0
jaanedang,pls play this at ur hawaii show 😭🙌,0
steven_626,Much aura. So wow! 🤩🌚,0
ya_boy_maloy,Thankyou,0
channyvibez,Defs using this in my spin class,0
jade.rorie,Literally transcending. 😭,0
therealbenyork,Not a cell phone in sight. Just pure uninterrupted enjoyment,0
lialuuvsu,Put this on Spotify pls,0
_jsamr,Come ULTRA Japan pls,0
makinwongchoices,When’s the drop on Spotify?,0
kashmere_kittie,Aura Park 8/23 🙏🏼🙏🏼,0
j_s._bauer,"I need this on Spotify, immediately 🔥🔥🔥🔥🔥",0
brighta0324,SPOTIFY WHEN,0
stevenlu.ig,@netflix make it official 🙏,0
@netflix,@netflix make it official 🙏,0
laxalove,OMFGGGGGG😭😭😭😭,0
ericsellsrealestate,Any chance we hear this on tour?👀👀,0
