=== POST METADATA ===
Post URL,https://www.instagram.com/doobydobap/reel/DNlBlvTotpk
Post Type,reel
Post Caption,"49K likes, 118 comments - doobydobap on August 20, 2025: ""what is kimchi anyways?!?!
Recipe available on doobydobap.com/recipe/kimchi-101""."
Post Date,2025-08-20T13:31:20.000Z
Extracted At,2025-12-02 21:25:28

=== COMMENTS ===
Username,Comment,Likes
patchoulirainfall,I love your content so much 😍,1
medusa.eats,I loooveeee green onion and chive kimchi 😍,9
light.liya,It looks so good. I didn’t know there are so many varieties of kimchi. Even more reasons to love kimchi 😍,3
w2sixpackchef,great video👏🔥,16
maviederiri,your voice is soothing,93
sarasparkypark,Now I’m craving kimchi😍😍😍,54
wolfin_it_down,Radish kimchi all day,458
superscientific,Tomato kimchi? Interesting,927
zirkuspfau,I‘d order all of them from your online shop if there was one 😍😂,2
maaargaaareth,chive kimchi’s are my all time favs😋 they go so well with buldak💚 and jajjangmyeon!,42
abc.defg2120,Can you share a recipe without the salted shrimp,1
parnika__alladi,Can u give a pure veg version of any kimchi,1
wellplayted_,kimchi supremacy 🙌,4
atthatnicole,Can’t do fish sauce. What else can be used?,3
d_s_l_queen61312,Is there any potato kimichi ?,1
carolmoraes.p,"mother, im waiting on your recommendations of good korean food in Madrid, like, whats legit, you know",1
viv_thn,I rmb I watched a murder documentary abt a women turning her ex husband and bf into kimchi...,1
_lumierebleue__,why is ur mom looking more like ur bf than you 🤣,1
loreandcat,"My mom has been making carrot juice and we have a bunch of leftover carrot pulp. I'm eating some of it as is to not be wasteful, but now I'm wondering if it would make good kimchi.",1
jiro_girly,Halal or not halal,3
clays._.alt,"These recipes are all based off of the original chinese foods, most of these can’t even be classified as “kimchi” or “Korean”",1
happgyu,KIMCHI YOUR PROBLEMSSS,0
sereni_ty2468,Can we kimchi grape leaves? What do you think @doobydobap,0
@doobydobap,Can we kimchi grape leaves? What do you think @doobydobap,0
frozen_margaritaa,The tomato one looooks bomb omg 🔥❤️,0
miri825,김장 시즌인가?,0
happygosusie,Homemade kimchi is the BOMB 😍,0
donaldo_cooks,Thank you 🙏,0
b_sukeban,Radish kimchi is my fav😍,0
roygool,❤️❤️❤️❤️❤️,0
nutty_mouthful,Can I sub the salted shrimp with fermented prawn paste…? 🤣,0
bothsidesnow25,"Actually, my first time hearing about kimchi was in a documentary on the travel channel talking about a kimchi museum with 100s of types of kimchi!",0
yealspa,"Hey Doobie, do you know where to get good kimchi here in Madrid?",0
vze4mhkp,👏👏😋,0
expedientenacozinha,Um prato incrível😍,0
just1.bk,need to see more of the npc dnce at the end,0
milkimchi,Thank you for this awesome explainer video! 👩‍🏫,0
danielyeom.vin,Koreans 🫱🏻‍🫲🏼 kimchi anything,0
vvinc3_,@atashapinedaa,0
@atashapinedaa,vvinc3_,0
ar_retailer_llc,I wanna see pineapple kimchi 😍🤤,0
sandrita_san99,👏👏,0
gourmeffe,❤️❤️,0
margosjournal,Ooo I love a good variety 🤗,0
_arturomarquez,"Tried Kkakdugi for the first time in Korea, that’s probably my favorite 🔥",0
jongga_usa,You inspired us,0
diff.pnut,Holy moly finally an easy kimchi paste i can make,0
meruzoite,Is it possible to substitute the shrimp paste with something else?? @doobydobap pls??,0
@doobydobap,Is it possible to substitute the shrimp paste with something else?? @doobydobap pls??,0
meruzoite,do we need to ferment the other kinds of kimchi too??? Sorry for the naive question hehe 🙏🏼 @doobydobap,0
@doobydobap,do we need to ferment the other kinds of kimchi too??? Sorry for the naive question hehe 🙏🏼 @doobydobap,0
reuke.dinessh,So if life gives you a problem make kimchi out of it,0
heydn.p,Tomato kimichi sounds fire😍,0
jansolee,Why you so legit girrrrllll 🫶🏻,0
a.b__008,I mostly think of radish and cucumber kimchi when i hear the word kimchi (im white and never had kimchi but i rlly wish to try these 2),0
tjayel,Can you talk about how to store kimchi or Banchan? Like how long can we store them?,0
ch1ken_nxgget,"I like that napa cabbage, green onion and chives one the most",0
hiisuu._gt,I've seen someone make watermelon rind kimchi,0
bloodzywound,uhhguhh radish kimchi 🤤,0
ezneekiell,I loovvee Radish kimchi,0
siliconvalley.foodies,Ooooh tomato kimchi?! I thought it was persimmon at first 😂,0
the_rogue_feline,Brussels sprouts Kim chi,0
k.foodie_bee,Amazing ✨✨,0
the_cultured_collective,So delicious 😍,0
luapstagram,파김치랑 갓김치 먹고 싶다아,0
feastography_,I wanna try all the kimchis 🤩,0
felipe.rivera.sol.leusemio,Tallarin,0
ohuknowit,I LOVE BEANSPROUT KIMCHI AND FISHCAKE KIMCHI❤️ AND ALL KIMCHI LOL,0
chantae111,Your mama so pretty😭😭🫶,0
nxlenoz_,Can I do it without the fish sauce?,0
j1miko0,Green onion kimchi is literally my child,0
loulou_missoutta,Radish kimchi is my favorite this time i made cabbage one but nexte time i will make the radish one 🥺🥹🥹🥰,0
brezhnevthegreat,Ughhhhh... i could devour kimchi every meal. 🤤,0
kalea.faulkner,Radish Kimchi 100%%%% 😍,0
spookylife__,I think of eatyourkimchi every time,0
1mindana,"So I was right after all, as I always thought kimpchi as a process rather than the usual pickled cabbage as THE only kimchi. Thanks for sharing",0
d._.hoon12,토마토 김치가 있나,0
magsanoanna0905,I love kimchi,0
siku_61,Is there anyway to replace the fish sauce??,0
dalisayrheajoy,Pear kimchi please,0
night_immortal3,"I think I can make the scallion kimchi, lots of scallions here",0
elsieballoso,Love it all❤️,0
rezaluthfi___,❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥,0
joziemyjozie,green onion is my fav,0
viking_mother81,I made cucumber kimchi a while ago. My husband ate most of it.,0
queen_bombus,Yummy,0
krismick5150,Radish kimchi is my fave,0
o.anaa.o,Is kimchi spicy?,0
ur_l0cal_3ng3n3,One of my friends makes homemade watermelon kimchi and it’s what made me love kimchi🥹,0
simsalcocer,I love kimchi and so does my mama so we eat it all the time and it’s so good. She likes the radish ones but I’m more into the pickle or chili ones,0
elias_klettrischa,I love hollowing out cucumber and filling it up with kimchi.,0
simplykimchi.nyc,Didn’t know you could kimchi so many vegetables!,0
stop_tshepi,Hear me out broccoli kimchi?,0
mcreyn72,"OK. That’s something new with the tomato kimchi. I’ve had broccoli kimchi in Augusta, Georgia before and that stuff was freaking good.",0
chaddydaddy8,Aren't there kimchi recipes from before the introduction of chillies?,0
ek.thanapol,Why are there so many recipe on kimchi paste ?  Which one is the best ?,0
