=== POST METADATA ===
Post URL,https://www.instagram.com/doobydobap/reel/DRdxV5cDwfR
Post Type,reel
Post Caption,"38K likes, 70 comments - doobydobap on November 24, 2025: ""KFL> KFC 🍄🍗
Go check out the ingredients for this dish at Gourmet Page on Korean Foods Amazon Store! link in bio
#koreanfoodsamazonstorepartner 

KFL recipe
Ingredients🛒
12 Lion’s mane mushrooms
2L Neutral Oil
100g Garlic

Batter
2 cups Korean Crispy Frying Mix ( 1 cup for wet batter 1 cup for dry mix )
1 cup water 

Sauce
Soy Ginger Glaze
2 tbsp Seasoned Soy Sauce with Saury
1 tsp Ginger Juice 
¼ cup Organic Rice Jocheong ( Rice Malt Syrup )

Garlic Sauce 
¼ cup confit garlic 
1 garlic clove ( microplaned for spiciness)
1 tbsp Seowondang Roasted Sesame Oil 
2 tbsp Organic Rice Jocheong ( Rice Malt Syrup )

Spicy Glaze
2 tbsp Haetnim Maeul 100% Korean Red Chili Powder
2 tbsp Seasoned Soy Sauce with Saury
¼ cup Organic Rice Jocheong ( Rice Malt Syrup )

- confit at 160C for 30 mins with parchment paper covered
- take out and let it drain head side down 
- cook the garlic in the confit oil for longer until golen brown ( low heat, 20 mins )
- prepare sauces by mixing 
- tear the mushrooms in half & wet batter first then dry
- fry at 180C 1 mins or until golden brown then let cool
- double fry at 190C for 10 seconds 
- coat in sauce & crack open a bevy of choice to enjoy with ٩(๑❛ᴗ❛๑)۶""."
Post Date,2025-11-25T04:22:39.000Z
Extracted At,2025-12-02 21:04:12

=== COMMENTS ===
Username,Comment,Likes
raichakraborty107,❤️,1
eatplayloveall,노루 궁뎅이😍,2
softden90,🔥👏,1
planet_melly_mac,"I take them as a supplement but after watching Bon Appétit your Majesty, I wanna eat them whole😍 🤤",109
tinbobmakefood,Dayuum that looks good,1
w2sixpackchef,such a great shrooooom🔥,9
joshuaweissman,Looks so good Dooby!!!,48
thewilliamle,This was literally the best thing at Mija Seoul 🤩,18
_abhi.02_,Guys i think you need rice malt syrup for this (they look incredible 😍),6
thrivingonplants,Not a want but a need 😍,31
nabeelakamal,I saw this as a special ingredients in Bon Apetit Your Majesty 😍,1
isaaccarew,🔥🔥🔥,0
philip_lemoine,😮😮😮😮 @smilingsmyfavorite_916,1
@smilingsmyfavorite_916,😮😮😮😮 @smilingsmyfavorite_916,1
rebekali_ayemi,Is the soaking in oil not going to make it extremely oily?,1
dzimm333,looks amazinggg! what about confit and frying in @zimmsorganics organic 🫒 oil 👀,1
@zimmsorganics,looks amazinggg! what about confit and frying in @zimmsorganics organic 🫒 oil 👀,1
moringamars,Lions mane 🔌,1
mitch_kr95,Loving me a good vegetarian recipe 🔥,1
audreysaurus,HEY I WANT THIS,17
interlude.self,Not me mistaking them for Roshogolla :'))),86
kevin_kroloekke,🕺🏻🦁🍄,2
zzz.alindaaa,Not me thinking they were a bunch of the coconut mochi dessert balls with the peanuts or sesame inside😭💀💀🤣,707
sujjang23,I think this food is also similar calorie with fried chicken. because sometimes can see vegan is more fattier than normal meals. They eat more fried things for example potatoes chips,14
emilyyoo,skin is gloowwinnngg drop the routine girl,4
ath.cywu,in china we call them monkey head mushrooms 😔😔,29
g.ante___,It’s monkey head mushroom in Chinese,1
yeomyongyoon,How nice! Another korean vegan recipe from Doobydobap💕,0
longlivesep,Krigga,0
pizzeria_o_official,😍😍,0
roygool,❤️❤️❤️❤️❤️,0
zoe._zs,They look so good!…and cuddly haha,0
meowlcat,in my country it's called jamur crispy,0
mafro_ck,I love your pretty asian feet ❤️,0
guiamoneylta,fave dish at mija!!!,0
yummycatalogue,OMG ABSOLUTELY,0
dhyprayoga,Lion mane?,0
mxganjah,YUMMMMN,0
jennandcherries,Does it ship to the UK?,0
droolius,Wowww need to try these! 🔥🔥🔥,0
jamestcanter,Those look bangin Sis!!💥💥💥,0
thatreefrog2,tina marry me,0
dh03sh,Ummmm i want one,0
justbee9o9,An vegan hack😂😂😂 of meat,0
stack.nelson,Hamster ramen noodles.,0
andziazach,I love mushrooms. I wanna try it so bad!,0
yo.usuf,Love it,0
meeksmann,Better than chicken is a reach but lions mane is a good ass mushroom 😂,0
crazy_asian_woman,But where do you get those gorgeous mushrooms?!?!,0
jelanymoon,Why are you cooking the smol little pets?,0
olibrianmallari,Looks yummy!,0
_spokenessence81_,🔥🔥🔥🔥🔥,0
linwei_xx,Did she say bambis butt ??,0
shamilahsaeed_,WHY DID I THOUGHT OF CATSSSS,0
cdawg2028,I’m saving this for later,0
abdul_b.1,Too much oil,0
kyd.27,🔥🔥,0
gabbyloda,"Looks incredible, but those wooden spoons have my attentionn",0
jindensedmilk,I can’t eat these what’s a good alternative to lions mane?,0
diana.vet.gatos,"❤️I cannot find fresh lion’s mane, but dehidrated yes 🤭 its possible do confit the mushroom after the hydration?",0
_anime_bl_music,MUSHROOMS 🍄🍄🍄!,0
fromthewonnieverse,?! These are new but looks great,0
