=== POST METADATA ===
Post URL,https://www.instagram.com/doobydobap/reel/DRYr7vHj7_c
Post Type,reel
Post Caption,"12K likes, 41 comments - doobydobap on November 22, 2025: ""Overcoming shyness with @insta360 
Get your GO Ultra for up to 15% off + free gifts with my code DOOBY for limited time only!

Link in bio 💞 
#insta360 #insta360goultra #insta360partner""."
Post Date,2025-11-23T16:12:14.000Z
Extracted At,2025-12-02 21:06:10

=== COMMENTS ===
Username,Comment,Likes
@insta360,doobydobap,0
chohyejang,Ohhh wow.. wish i could try that for my commute in New York!!!,2
fromsophieee,you fit right in with that crazy card 🙂‍↕️😍,2
leikeiwei,Such a teeny tiny camera seems great for on the go vlogs,22
woo_woo_han_85,❤️,3
hedonist_hanna,But the quality here looks a lot lower than your usual videos? What else do you use?,1
mountain_man_sims,"You’re a legend. Always top notch work, Tina.",1
muskbakes,Mommy is back,4
blondimuck5,"Great tips here girl, but of course ur da qween. 🔥🫶🏻",1
thatreefrog2,why is she worried she is prettier than all the k pop stars i’ve ever seen,28
insta360,You won’t even know we’re there 🤫,2
instantnoodledude,I need one,0
roygool,❤️❤️❤️❤️❤️,0
hirahaseeb__,I want this,0
ckim2345,Im in korea,0
andr.ewle414,Love this camera taped ⬜️,0
daveyumiliii,🔥🔥🔥🔥,0
insta360magazine,Send me this post,0
jhheeeeeeee,Dooby😍😍😍,0
tinidor,@anneyeooongg,0
@anneyeooongg,tinidor,0
wweezzzy,"just cause you're not a k pop star, doesn't mean you ain't a k vlog star",0
tinbobmakefood,Yooo imma get one for sum vids🔥,0
jasonfanclub2000,I was in Seoul until two days ago ❤️,0
choemamma,love your coat,0
dannyfromthea223,MR. WHITE,0
lowkeyfiasco,Girl isn’t aware she looks like a K*pop star.,0
vze4mhkp,🔥🔥❤️,0
chohyejang,Wish i could try for my travel!!! Going to visit Korea sooooon!!!! 😱😱🤩🤩🤩🤩🤩😅😍😍😍😍😍,0
franksb53,You are precious- don’t worry,0
feignflowjack,"By the way, you're more beautiful than any K-pop star, cheers! 🍀",0
ms.greenbuffay,What do you mean shy??? You are Park Seo Joon female version. Too pretty! Totally a big star😍,0
hadiza_jb,Ooooo,0
chohyejang,"Where did you get this in Seoul , Korea? Is there a store that carries this product? Im gonna be in Seoul soon..",0
nguyenfoodstall,Merry Christmas to me 😊🥰,0
