=== POST METADATA ===
Post URL,https://www.instagram.com/doobydobap/reel/DP46yFnE9yL
Post Type,reel
Post Caption,"14K likes, 48 comments - doobydobap on October 16, 2025: ""3 ramen hacks to level up your game 😮‍💨You can purchase all 3 flavors on Amazon with the link in my bio🫰 @samyangfoods_global #MEP #samyang #samyangfoods #samyangpartner""."
Post Date,2025-10-17T00:03:58.000Z
Extracted At,2025-12-02 21:08:17

=== COMMENTS ===
Username,Comment,Likes
@samyangfoods_global,doobydobap,0
adrian_eats2much,Level up your ramen 🙌🙌🙌,8
aiyarost,"As your Thai fan, i gonna cry when you said ขอบคุณค่าา❤️ รักคุณนะคะดูบี้❤️❤️❤️",22
tinbobmakefood,Holyyy that looks good😍,0
chef__tyler,That Tom Yum ramen looks unbelievably good 😋,89
astralfay,😍😍😍😍😍,2
mikey_puga,"Can you show us your face the next morning? I like how when you eat instant noodle late night, the next morning you wake up with your face all swoll 💪🏼",2
mammaforziggy,"this looks really good, but can I ask where your cute pj or top is from?? I",3
wisdomtoothfairy8,"""Khob kun kaaaaa"" deserves a 🩷😂",1
taim.xxiv,Boycott Nestlé,3
jasonwan_888,Defo need a massive poo after 3 packs of Ramen 🤣,1
blondimuck5,Girl those bangs are threatening😂.,1
whitneynicolew,@therealstrait not to be dramatic but I’d die for that tom yum ramen,1
@therealstrait,@therealstrait not to be dramatic but I’d die for that tom yum ramen,1
victorhuang_,doobydobap,0
conwaycooks4u,"What about making your OWN broth?? For example, miso paste, Sriracha, ginger, garlic, soy sauce, sesame oil and chicken broth?",0
vze4mhkp,👏👏👏,0
roygool,❤️❤️❤️❤️❤️,0
pk_assawi,❤️,0
privetienie,I missed these vids ahh,0
privetienie,The whole point of your page for me is to make me hungry when i am full,0
vanschappal,3rd one is toooo fireee i’ve seen someone do that with instant noodlesss love it🙌,0
jammingsoul,"I’ve got the same pyjama, bought it in Jeju 😭",0
krizkitch,The tom yum 🔥🔥,0
boy_bean_,Peel the lemon grass for extra points 👏👏👏,0
mehzabeen333,Love the tom yum❤️,0
ldkcoconut_20,"@its.lisanguyen Last ramen is tom yum style, recommend trying for the ramen challenge! 😁",0
@its.lisanguyen,"@its.lisanguyen Last ramen is tom yum style, recommend trying for the ramen challenge! 😁",0
erthh,That Tom Yum is INSANE.,0
chimmy_ceitidh,These look so unhealthy though :S,0
eljazouliabdelaziz,Cancer,0
deu23566,Why raw eggs ..I mean they get cooked ?,0
nina.oswaldvieira,Picante beef 🤌,0
chansitebites,This is yimmmy,0
tinyric.e,i need ramen hacks but when you only have the noodles and not the spice packet 🥺,0
klopokitchen_,Wow!! Looks so good 😍,0
lyn.x10,🤤🤤🤤🤤🤤,0
zzzkiki,"Also, make sure to eat ramen in the middle of the night in your pajamas for maximum flavor.",0
dittochef,Woahhh,0
1penn,So dangerous watching this in bed 😩 About to go down RN!,0
yuugai,Have a link for Amazon Japan?,0
mandoelin,Where have you been! I miss your videos.,0
waaaaaaaaaaiiiiiiii,Saw ur recent story in HK so shooting my shot here. Dy want recs 🥹 im a full fledge local,0
bobicc.arvid,When you slurp too hard the soup shot into your eyes,0
celestinereemahmusk,YUMM DOOBY,0
celestinereemahmusk,definitely Measure the damm Water,0
nimbuskitchen,I need to try this,0
ladybug_fan_25,Enhypen,0
fromthewonnieverse,Haha at #1,0
