=== POST METADATA ===
Post URL,https://www.instagram.com/adip_food/reel/DO1Oe_wCLBc
Post Type,reel
Post Caption,"33K likes, 211 comments - adip_food on September 20, 2025: ""Pressed Chicken and Anchovy Schnitzel with first squish guest @doobydobap 🫶🫶

Big up @niallx16 for suggesting adding anchovies. 🎣🎣🙏🙏🫶🫶 

What next y’all?""."
Post Date,2025-09-20T17:04:28.000Z
Extracted At,2025-12-02 21:10:21

=== COMMENTS ===
Username,Comment,Likes
@doobydobap,adip_food,0
@niallx16,adip_food,0
natsnourishments,👏👏👏,2
jecacostaa,😍😍😍😍😍😍😍😍,1
carmine.gorrasi,🔥🔥🔥,1
gil.treats.gil,Yeaaaah 🔥🤍🤍,1
donnab_cruz,NO WAYYYYYYYY🔥🔥👏❤️❤️❤️🙌🙌😍😍,1
hommathefoodie,Looks good! 🔥,2
gargantua______,The feat i didnt knew i wanted to see hehe 🥹,1
pov_balthasar,Great teamwork and that ending 🔥,0
oishimate,Oh this is so much fun.,1
aastha_i_am,Thats one yummy schnitzel 😍,1
krizkitch,THE DREAM COLLAB,1
vontiansuwandi,the collab we needed 🔥,7
dudu_eats,👩🏻‍❤️‍👩🏻👩🏻‍❤️‍👩🏻👩🏻‍❤️‍👩🏻👩🏻‍❤️‍👩🏻,3
sofiedumontchef,Nailing it be like 🔥🔥🔥,1
tontita00,great first guest ❤️🙌🏽 @doobydobap,1
@doobydobap,great first guest ❤️🙌🏽 @doobydobap,1
nelle_en,Love this crossover,1
thomasinamiers,Squashing some Mexican chillies? YES!!!,1
pugnaciousspirit,You have blown my mind. 🔥,1
wolfin_it_down,Now THIS is my kind of crossover,1
chef_rachit,Ohhhhhhy god..this is my fav chef collab video!! You guys are freaking awesome!!,78
timotheegerard,My two favourite food content creators together 🥹🥹🥹,6
feistyfluxy,"Omg, Doobies assemble! This is an awesome collab!",1
w2sixpackchef,this looks🔥 the tortilla press move was 🤌🏻🤌🏻🤌🏻,33
margritwenzel,hell yes.,1
heloisiii,"Omgggg, the collab that I’ve been waiting for ❤️❤️",1
soomthesoom,Love,1
nastachadeavila,@rafadeosantos compra o papel vegetal,0
@rafadeosantos,@rafadeosantos compra o papel vegetal,0
andyhearnden,This made me smile,56
5oclockapron,Can I come & squash mushrooms 😉,14
cookingfromspain,Booooffff must try this one!,6
kenjcooks,Stunner,1
ynot.korean,Wait...hold on,1
chef__tyler,Legendary collab,12
flezzz28,Oh shit!! Elite collab!!!!!,6
awinkleblack,I made this last night and it was soooo good! Thank you for the inspiration.,0
goatboyintl,No way!!!,2
doobydobap,ADIP OPPA~~~~ 🫰,225
daywithmei,what a crossover 🫶,4
chefpedrogalliussi,"Nice, and yummy, !!! Congrats for you videos",0
london.promotion17,Can. U share it. @the.londonbuzz,0
@the.londonbuzz,Can. U share it. @the.londonbuzz,0
coryjosef,Guess I need a tortilla press now 💸,0
sanchezsavrina3,❤️❤️❤️,0
losplugz,Dang.,0
ssmiami,🙌🔥❤️CRUSHED IT,0
zamhuck,Beautiful 🔥❤️,0
jonathan_merigian,It’s like a churducken but… flat 😂,0
kimevangelista_,This collab 🙌🙌🙌,0
chad_hoffer,@bothrops1.0 First person I thought of! #tinnedfish,0
@bothrops1.0,@bothrops1.0 First person I thought of! #tinnedfish,0
z.uzzzana,Hell no,0
philkhoury,😮😮😮😮😮😮🔥🔥🔥,0
illsucuk,hell yeah,0
galaxy522,I’m def pressing my chicken next time in my tortilla press ❤️,0
_nickcrane_,"Jesse squishes, we watch.",0
victor_berger,No words,0
patipenam,😍 what else you put with the bread’s crumbs??,0
gmzampi,Love it. Cooking together. So 😎😎😎❤️❤️❤️,0
carnivore_connoisseur_,Love your videos 🤝🏼✨,0
lucas_kocht,Schnitzelfying Everything is one of the best food trends yet,0
vinniecookclub,squish umami schnitz 😍,0
vinniecookclub,Take a BOW! 👏,0
maggiejhoffman,Ok this one I love.,0
michael.jerome.edie,Saltenbocca next please! Best series since the Sopranos BTW,0
cookedfruit,The third person made it sensual,0
morcos_cuisine,Yall yall 😭that looks bomb,0
coronallages,😍 😋,0
cheftylerboxeats,Another day in mise en place,0
ustynaluka,two favorite chefs 😍😍😍,0
delfin_____sinfin,Wowww 🔥🔥,0
laura.gnz,nnais ft 😍,0
marieldiaz_,Not you using a Mexican tortilla presser 😍🇲🇽,0
tommy_streat_kitchen,Unreal! 🔥,0
annabeltxn,DOOBYYYYYY,0
cristinabrennanbrennan,OMG!!!! It must be DELICIOUS,0
robbinsas,Epic collab,0
reidlevin,This series is so good ty 🔥,0
georgetapsfield,Nom nom nom!,0
tycho.hm,Where's the pepper grinder from?,0
beatricevalenzuela,♥️,0
vze4mhkp,🔥🔥🔥,0
todo___tranqui,buena milanga,0
julietamontserrath,WOOOOOW no me lo puedo creer,0
sise_contrerasiori,E la madoooooooooooo,0
amandabarley,Oh damn,0
camcamp_,Omg????,0
victoria_mccrea,milanesaaaaaaa 😍,0
mena.fermentacion,😍😍🔥🔥,0
lorrydriver.co.uk,What a delicious idea,0
pov_balthasar,Now this is the collab we’ve been waiting for 🔥,0
plumpkitchen,🔥❤️‍🔥🔥,0
fatdaddy_bakes,Ha! I was NOT expecting this collab.,0
marcuspatrickbrown,Let’s goooo,0
samdotchun,Audibly gasped when the press was lifted. Making this right now.,0
yo_monalissa,OMG,0
hoffmeisterbenjamin,Just curious where the flatware is from?,0
suryaramann,🔥🔥🔥🔥,0
lu.edg,Cela semble extrêmement gras,0
k.caniggia,🔥🔥🔥🔥,0
boriswillbeboris,Great idea,0
thomasinamiers,Yes yes yes YES!!!! 🔥🔥🔥🔥,0
theherethere,Yum. May I ask what oil you use for frying?,0
joey_proey,This is great 👏,0
yerba.negra,😮‍💨😮‍💨😮‍💨,0
yellow_submarine61,"Love anchovies!!! Sadly can’t really get Raddiccio in New Zealand,I’m sure I can find something else tho!!",0
teacherloz,Do you have a shed? Can I come and live in it? 😍,0
khill24,Love this! Watched 3x 🤤🤤🤤🔥,0
torezhan.kudarov,"Oh good lord, love yall",0
sarmalutsa,That tortilla press is working for its life.,0
kaminipather,Love the collab. Love the meal but the black nail regrowth gets me in the 🤢,0
thelarryjelucai,👏🏾👏🏾👏🏾,0
fiera_madrid,Wooooow❤️,0
come__blog,Its funny to think you didn’t speak at all.,0
roygool,❤️❤️❤️❤️❤️,0
suscottfood,Cute.,0
davidnam,This is so dope!,0
j_u_l_i_b_e_e,Juste wow,0
__quinning,Omggggggg totally here for this collab!!!,0
buchim2806,ㅋㅋㅋ 귀엽닼ㅋㅋㅋㅋ,0
hope.k.spence,TWO OF THE FAVS,0
niallx16,🙌🙌🙌,0
effdeebee,Perfect pairing 😍,0
gorgeoustechnique,🔥🔥🔥,0
rh0darh0da,❤️,0
nehrugula,Wow BEST collab,0
goodjuju791,Oh yeahhhhh,0
epiphanies.unexpected,🤍🤍🤍,0
epiphanies.unexpected,🩵🩵🩵,0
jackph0enix,"After years I’m still insanely impressed about the videography, so so clean",0
rin_a_bambina,Omg my fav people ❤️,0
gikagika_vereza,So cool 🌝,0
samifigz,Yummmmm,0
arantxazuca,"I've never see a tortilla press used like this hahaha 😂,and I'm Mexican haha",0
gillsgourmet,What a cute colabbb. Bring on more press videos 👏,0
nattjaitrong,🤝 🔥,0
stalecruskits,Thin snittys are the bessssstest,0
jseaaaaa,Thx for the collab,0
yesyumau,Oh my goodness. This is the best collab of the century. 👌,0
stbrigidscreamery,🙌🙌🙌,0
third.broome,Yes. Hell yes.,0
syeonkeem,😍😍😍😍😍,0
beef_cheeks_,You guys are the Best!!!,0
veronicastoler,This series rules!,0
izzatisyazwani,the collab we didn’t expect!!!! 🔥,0
bulnabangest,😍😍😍,0
derrick_koch,This series is off the chain,0
bootjack,Shut the front door!! Anchovy for the win!!,0
streeterlissa,Yum !,0
pete_moon1,Delightful,0
orkidecooks,😍😍😍,0
adrian.n.cam,Is that a chicory salad on top? Delicious!,0
complex_state_of_mind,Oh my god yes!! The collab I’ve been waiting for. Love both of y’all’s content @adip_food @doobydobap,0
@adip_food,Oh my god yes!! The collab I’ve been waiting for. Love both of y’all’s content @adip_food @doobydobap,0
@doobydobap,Oh my god yes!! The collab I’ve been waiting for. Love both of y’all’s content @adip_food @doobydobap,0
chefshat,🙌🔥,0
ryanjuliusjulio,Quite inspired,0
bonie.1900,OMG double surprise 😍,0
songmody,안녕하세요~! 이 채널에서 듣게될 인삿말인줄을 몰랐네요! 아내분이 한국분이신가봐요 반갑습니다! 😮👋,0
matsume,What a collab!!!,0
julian.m_96,ehhhhh milanesa de pollo 🤨,0
hymy_gwon,안녕하세용❤️❤️❤️❤️,0
anne_lise_food,"I love your episodes ""pressed"". Suggestion for the next recipe Patacones !",0
kellynas_kitchen,Tac🔥,0
otaviofrancoso,uau,0
tennessee_cowboy_beef_jerky_,Yumm,0
wcotm1,Yikes,0
zimmsorganics,y'all are geniuses,0
kittybonner_,😍😍😍😍,0
andrewjotjz,That's yummsss,0
hwarakdang,what!,0
surelymaria,You are wild,0
designsbyhiroki,Genuinely curious. How many takes for the last shot?,0
jiddlerstipple,Holy mother of zeus! 🙌,0
ha505star,اخ الشحمه حقت الدجاج يدي تحكني اسحبيها بس الله يهديكِ,0
deepintospices,❤️,0
mohamednofal.foodstyling,🥹♥️,0
letsmikeameal,Very nice dish,0
jjc_7788,Some chives on top?,0
rudyresto,This is genius!,0
topherchau,A collab we didn’t know it would exist,0
nowayjosecuisine,🔥🔥🔥🔥,0
mrshollingsworths,I need to squish my dates like this! 🙌,0
isla_rasc,King of the press!!! 🙌,0
whatscookingzed,Too good ❤️,0
steakfriedbryce,Wow!,0
ot.sa.te,The collab we didn’t know we need 😍,0
philipp.cooks,Great idea,0
aka_axlsteez,Using the tortilla press for this is a revelation 😮,0
eatsaltysweet,🔥🔥🔥,0
kingbro_636758,굿 😆👍❤️,0
ms_peterson1,The guy 😍,0
upside812023,Recipe!?,0
sistazoila,🇦🇷 ⚜️,0
catstray,Recipe?,0
hshs_hshshs_jsjsjs_hshshs_hshs,Wait.... You're Korean!?,0
annaluizaazevedo_,two faves 😍👏,0
dirtykoreann,안녕하세요~,0
marcellabritofranco,pqp,0
spicy_olive,"Love, love, love ❤️",0
ashleyolive,This is what they would serve in heaven. Guaranteed. 🤤,0
mountain_man_sims,World class work y’all. Absolutely top notch!,0
blacklegbritty,LEGENDS!!!!!,0
botreeuk,perfection yum!!!!,0
misskatiemae,Team work on point 👌,0
