=== POST METADATA ===
Post URL,https://www.instagram.com/doobydobap/reel/DN2mtoR0AL_
Post Type,reel
Post Caption,"28K likes, 60 comments - doobydobap on August 27, 2025: ""feed me mama! \(*´Д｀*)/ 

장조림 (Sogogi Gyeran Jangjorim - Braised Beef and Egg, #7)
* 300g beef (for soup or stew, e.g., brisket)
* 4 cups cold water
* 5 boiled eggs
* 10 whole garlic cloves
* 1 cup soy sauce
* 1/4 cup sugar
* 1/4 cup mirin
* 2 red chilies (optional, for garnish/slight heat)

멸치볶음 아몬드 (Myeolchi Bokkeum - Stir-fried Anchovies, #77)
The provided recipe does not include almonds, but here is the base list. You would simply add almonds to this preparation.
* 1 cup dried anchovies (small to medium size)
* 1 Tbsp soy sauce
* 1 Tbsp honey or corn syrup
* 1 tsp sesame oil
* Sesame seeds (optional)
* Cooking oil

멸치볶음 매움 (Gochujang Myeolchi Bokkeum - Spicy Stir-fried Anchovies, #78)
* 1 cup dried anchovies (small to medium size), dry-roasted
* 1 Tbsp gochujang (Korean chili paste)
* 1 Tbsp honey or corn syrup
* 1 tsp soy sauce
* 1 tsp sesame oil
* Sesame seeds (optional)
* Cooking oil

어묵볶음 (Eomuk Bokkeum - Stir-fried Fish Cakes, #80)
* 1 cup Korean fish cakes (eomuk), sliced into strips
* 1/2 cup onion, thinly sliced
* 1/2 cup green bell pepper, thinly sliced
* 1 Tbsp soy sauce
* 1 tsp sugar
* 1 tsp minced garlic
* 1 tsp sesame oil
* Sesame seeds (optional)
* Cooking oil

진미채 (Ojingeo Chae Bokkeum - Stir-fried Shredded Dried Squid, #81)
* 1 cup shredded dried squid
* 1 Tbsp gochujang (Korean chili paste)
* 1 Tbsp honey or corn syrup
* 1 Tbsp mayonnaise
* 1 tsp sesame oil
* Sesame seeds (optional)
* Cooking oil

Full recipe available under 100 Banchan video on youtube 🫰""."
Post Date,2025-08-27T09:23:39.000Z
Extracted At,2025-12-02 21:19:14

=== COMMENTS ===
Username,Comment,Likes
__yo_its_me_mike__,I've only encountered the anchovies at one random spot in the Chicago suburbs. To this day I keep hoping to find them again. So good!!!,2
fonzofonz7,I once had canned anchovies that my co workers Korean GMA made. What might the recipe be called? They weren’t very spicy but they were red lol,20
ra.ba.tz,So happy you shared the 100 Banchan recipes. Thanks 🙌,57
renihnf,this looks delicious! thank you for the recipe! how long you usually store it in the fridge?,3
madebymusashi,the roundup we needed,1
an_woozyworld,I would love to see you make more easy recipes even a lunch box series would be good!!!,48
chungeats,teju mama,1
lenalangweilig,Anyone else got food wars flashbacks with the peanutbutter squid ?,4
explorynn,How long can they keep,0
thepeigsquad,what is the alternative for neutral oil? i dont think there's one here in the Philippines,0
residentmochi,looks so delicious,0
feastography_,So many banchan recipes to try 🤤,0
its_ravan_29_,Jo mujhe follow Karega Me usko follow back dunga ❤️❤️❤️,0
roygool,❤️❤️❤️❤️❤️,0
justtytrack,Klo di sumbar disebutnya maco :v,0
imyeongpark,yesss ur gonna save my life 🙌,0
mackenziejonescaitlin,Man this makes me wish fish didn’t make me feel ill. Sadness .😢,0
w2sixpackchef,all of these slap👏,0
fatojmaki,الزفر يتصل بكه,0
boy_bean_,Yuesssss I neeeeed,0
nurrunsywl_,looks gewdd 🔥,0
miaparkmiapark,oh! never had the almond anchovies?!,0
ivanna_jt,Hi! Is there a way to replace the sugar? Thank you! Love this❤️,0
jemillares,❤️,0
vze4mhkp,🔥🔥❤️,0
awh.drey,I watch this video so much bc it’s just so awesome that you put so many side dishes into one YouTube video. And sometimes it’s so hard finding specific banchans I’ve had like once or twice so idk how to search for them. Love you!!!!,0
hollyy_berry,The Korean market by my house makes the spicy anchovies and they slap 😩,0
tjayel,How long can banchans last in the refrigerator?,0
im_afraid_of_everything,Do you know how long they stay good in the fridge?,0
12hd9er,"Love your recipes, love your personality and you’re beautiful! Oh and I love your YouTube channel!! 🫶",0
dalmar_costa,This is incredible!,0
lilachampagne,Thank youuu! We need more videos like this ❤️,0
kates_inprogress,Where can I get the fish cakes and squid?,0
moiury,Now a days everyone says too eat less sugar but in Korean dishes I can see in every dish there is sugar 😅😅😅,0
urboliaoxuan,YOOOOOOO I MADE THIS WAS FUCKING GOODD,0
cindy_guoan1,"Can you please recommend a good brand of fish cakes, please",0
_ellie._.3,😍😍😍😍😍,0
titus_w0niel,"Omenaaaa, kwenda uko bwana mano omena",0
uarmyhope.2232,❤️❤️❤️❤️😍,0
cane_bakery,So good,0
emotional.tsp,How long do you simmer the brisket for?,0
squeekymouse9,I HAVE BEEN LOOKING FOR THE SPICY SQUID!!!! ❤️❤️❤️ THANK YOU,0
christinakim15,Doing god’s work since momma Kim don’t share her recipes lol.,0
thyrza_smit,I love your website layout!!,0
oma.naturalfood,All we need is food white rice 🔥,0
kuin_sabeji_,Honey I am home & hungry 😂❤️,0
olive.clg,Recipes,0
sha_lio,how to make this kind of video? is this tictoc?,0
gimjang_northvale,The way you tell food stories makes everything feel personal and meaningful!,0
fromthewonnieverse,They always bring their a game,0
