=== POST METADATA ===
Post URL,https://www.instagram.com/doobydobap/reel/DN0Qc1HULZK
Post Type,reel
Post Caption,siliconvalley.foodies
Post Date,2025-08-26T13:22:10.000Z
Extracted At,2025-12-02 21:21:18

=== COMMENTS ===
Username,Comment,Likes
siliconvalley.foodies,"If anyone I know was going to have the dedication to try this, my first guess would’ve been you 😂❤️ Excited to see which one won!",3
claudechaser_,i liked the YouUs budae jigae 😭,6
vanschappal,loved this vid on youtubeee,5
agnescheeese,❤️❤️❤️,1
tracysiochi,seeing this in this weather???? okay ✊🏻🙂‍↕️,9
veronicamchef10,You are iconic not the ramen 😂❤️,115
luckydragonsupperclub,You’re living my dream,33
kiikiikukeko,I am craving,2
rollinjoint1,Iconic❤️,2
cacan.mhrn,I used to be addicted to watching Wang Tteukkeong commercials because IOI 😂,1
alexamoos,Loved this review on Youtube👏,5
vinhyet,Did you eat them all at once?😂,1
pauemae,doing gods work,3
diego3eyes,How ur tshirt so clean lol,1
jfchefuk,Thank you for your service 🥰🔥,1
afk39,Not with the white tee! 😮,1
jane.zoe__,After all that…what’s the fave? Orrr top 2?,10
ayoitsck,You just shortened your life by 10 years 😭,1
kevin_kroloekke,🔥🔥🔥,1
amnadagrapes_,Good luck to the toilet😭,113
musingovermoon,"After watching that video a week ago, I ate 2 packets of Neoguri 🫠",1
doobydobap,🪦my og gimchi white tshirt: ?-2025,54
abevaldezz,Your ass probably smells,4
king_yoesel,Shin and Jin are my ultimate go too,0
macasroon,love this!!,0
swagatika.sarangi,living the dream! 💜,0
tjandrewreyes,Instant noodles can cause colon cancer. Is this true?,0
zari_or_barbara,Shin’s my ultimate and jin and on 3rd it’s the bibimen🫶🏻,0
john.on.film,You're amazing ❤️,0
vze4mhkp,👏👏😜,0
goplanecrazy,Can’t wait to try a few of these this fall when we visit Seoul!,0
makaylagarcia33,How are you doing this with a white shirt and getting nothing on it😭,0
dbokg,🙌🙌🙌🙌🙌,0
smith_oli,Shin are the best,0
sana_xx307,Japaghetti has 0 salt it just taste like bland onion.,0
_seoulman_,Was this all on the same day???? 🤯🤯🤯,0
maiganla,"I couldn’t help but wonder… was I in Seoul for the culture, or just to stock up at the CU ramen library with your reco in hand? Either way, my suitcase was heavier, but my heart fuller 🍜🫶",0
tessalony,My anxiety seeing you do this with white T 📈📈📈,0
ratoekoetjing,My favorite is Neoguri,0
washokuman,yukgaejang is best. What happened to the label!?,0
klopokitchen_,Watched this on YouTube and I love it 🥰,0
shnngrace,Wait…you tried these all at once????,0
theoverzealouschef,Did you eat these back to back?!,0
makanwithsarah,Omg! I’d love to have all the ramens🤣🤤🤤🤤,0
thejeffi8,Just discovered your YT channel! I love the foods!,0
roygool,❤️❤️❤️❤️❤️,0
lilachampagne,😍😍,0
charles_dmv_agent,My diet only allows me to eat one Ramen a month. Which one should I try the most? 😂,0
ilyah.valmer,"chapaghetti is disgusting af , udon tempura tastes more like trout than urchin",0
jenoisdubois,Me waiting to see if SHE has the buldak carbonara 👁️👄👁️ @jesschillingsworth_96,0
@jesschillingsworth_96,Me waiting to see if SHE has the buldak carbonara 👁️👄👁️ @jesschillingsworth_96,0
fromthewonnieverse,So many ong lol,0
sa__pk__,Soooo what’s your top 10 favorites?????,0
blacklegbritty,Good thing you weren’t wearing rings bc them things would STILL be stuck 😂,0
