Username,Comment,Likes
8wali8,How useful is tailoring your resume for companies like Meta (where you submit your resume for the job posting but also have a resume on your profile that they tell you to keep updated) Is it better to update the main profile resume with each new tailored resume or just keep your main profile resume the same?,0
rish.sah1,"Resume system is 🔥, really useful as a first time freshman",0
shavgoel,For amazon do you think we should mention what events we attended on our resume?,0
sparklejumpropequeen2703,any info on datadog process?,0
cai___latte,"Just got interview for msoft APPLIED SCIENCE intern, any idea what the interview would look like?",0
rlam.7,"Google is coming to UVA tomorrow and Thursday. Office hours, workshops and resume reviews",0
alokswaminathan,"I applied 2028 grad to googles prev internships, but my plans have changed and I want to do 2027 grad + 1 year masters now Is there any way I can update google so I can apply to their new swe drop as well?",0
fkatony,That’s fire🔥 Definitely gonna use this,0
maria_gomez_tres,can you resend the bloomberg new york public link internship?,0
alaricvarghese,"Hey, is the notion link down again? I still can’t manage to duplicate it properly. Thanks",0
shayan.islam,Does adding the soft skills really help w ur resume or is it mainly about the hard technical skills,0
aymanmahfuz05,Is the best strategy to maximize your chances at FAANG level companies still to apply as early as possible?,0
huihui_er,Notion. Thank you.,0
a.tewodross,You mentioned for Google to apply asap and get a referral later on. Do you know how the person referring would do that? Is it the same as a regular referral?,0
blue_alias,This is kinda off topic but do you have any tips for writing personal statements for tech summit applications? I tend to overthink quite a bit,0
ssb_groovin,Put me on the notion motion,0
bradderby_,How do you tailor your resume bc I feel like the experience I have is not really changing per se since they’re all swe roles,0
rexell.kurniawan,"When i duplicated the template, it doesn't copy the databases",0
