=== POST METADATA ===
Post URL,https://www.instagram.com/p/DKvwUeDP3qc/?img_index=1
Post Type,post
Post Caption,"68K likes, 153 comments - doobydobap on June 10, 2025: ""má là mommy 🌶️🐼
sichuan spicy chengdu street food vid is up on youtube!""."
Post Date,2025-06-11T03:59:07.000Z
Extracted At,2025-12-03 23:09:36

=== COMMENTS ===
Username,Comment,Likes
beckynahh,WITH KENNY?!?? 😍😍 AND OMG I THOUGHT YOU GOT ENGAGED...,0
uynkitchen,Ủa sao bả nói tiếng việt dậy mn :))) t nhớ là bả ng Hàn mà nhỉ? :)),0
lovemejina95,Legit thought it was an engagement photo 💍,0
omg.its.vale,Sexy momma 🤩,0
0m0mii,my fav crossover 😭,0
jnelleyu,stop i thought u were showing off an engagement ring in the 2nd photo 😭,0
itslloydwithadoublel,Y’all are too cute and dare I say I really really like Kevin’s new haircut 🤭🔥,0
cocoabuttersparkles,This new haircut suits him very nice! 😂,0
02em_,wait did her and kevin split?,0
_boujames,Thank you for raising us well Mama @doobydobap 😍,0
@doobydobap,Thank you for raising us well Mama @doobydobap 😍,0
juliadrew75,My queen is happy = i'm happy,0
softdoor53,another oxford study 💔,0
u_r_stupid_still_i,Mommy and daddy 😌,0
audreysaurus,🤍ᕦ(ò_óˇ)ᕤ,0
roygool,❤️❤️❤️❤️❤️,0
nokimeomeo,babe why r u speaking Vietnamese i thought the caption was auto-translated at first omg 😭,0
kennylsong,🌶️🌶️,0
