Username,Comment,Likes
alex_4042_,Honestly thought that was gonna be Ron in a wig 😭😭,0
lily.woodall,this is so cute,0
siuuvyn,This cured my cancer,0
henswallin,jason so tuff,0
aarybot9000,❤️‍🩹❤️‍🩹❤️‍🩹,0
eos.henry,Late ahhh hard launch 😭,0
jordan_mathieson_,"Ik this is like cute and things got sorted out between them, but I'm still skeptical of Sakura after what happened and don't want poor man's heart broken",0
dtranfitness,OVERHEALEDDDD,0
connorpugs,Aura off the charts on this one,0
toram_gao,not JAKURA but Jason and Sakura 🤩,0
miraqk_n,We made it 🥹✌️,0
phinehas.amare,"Yo jason, you have inspired me to want to stream for the longest time and I am so grateful to be able to watch your. I hope god blesses you and you can continue to stream until u decide its time. I hope to one day do a stream with you and wish you the best. Jesus loves you😍❤️🙌",0
fr_bigsmooth,NAHH YOURR THEE TUFFESTT,0
jjbeatz220,W JASON AND SAKURA W GUYS 🔥🔥🔥🔥👏,0
velox0i,thank u for putting her on ❤️,0
ccamilodonneys,what ever lyrics u want jason 🙏,0
wonton2thicc,THIS MADE ME SO HAPPPYYY,0
dejavutho,I have a friend with the exact same first and last name as Jason and jasontheween says his last name incorrectly. It’s pronounced “nwin” with 1 syllable. Not “NewWeen”,0
mobutsus,now we just need a kyedae and tenz version,0
g4el_101,ur the one j,0
lowtaper92,Holy the makeup,0
montiel_jaceq50,Nah bruh she not the one,0
azan_bali,Damn bro we see the fit 😭,0
z10n____,He's wearing the GBAD jacket,0
sahil_m.png,Im over healed rn,0
ah.jly,congrats,0
laleddie__,i never watch stream until you 2 appear..jason n sakura thank you so much for being making me happy,0
fluffychavon,The “loml” is wild bro!!! Jason’s the Romanticiest,0
warren.ranji,😍😍😍😍😍😍😍 amazing,0
vnudl3,Good job Jason,0
post_manoj,World is healing again 🙏,0
cherri_ig,HARD LAUCHHHH,0
mi.lls8885,MY GOAT JTW AND THE WIFE😍😍,0
duhitzjan,bruhhhh @neyallm 😭😭,0
nmnsethi,"nah , u da tuffesttttt",0
jixbrann,big news for the unemployed 😍,0
amarrrrioooo,You da loverboyist,0
mojavidesert_,"Crazy how it all happened from beginning to now, may this kind of love find me 🔥😂",0
lenu_ska_awomi,@amu_qhuto I just activated my account and saw this. why didn't you tell me they got back together? 😭,0
jayqvvr,What do you guys are back now?,0
zero__one_zero,Breakup in 6 months 💀😭,0
dariusddavidson,wait that isnt yujin (rate my ragebait outta 10),0
thenickcao,Thought it was yujin,0
babylusyjhnae,Do i look edible ???,0
hidden_shaurya,"""mommy I need heal""",0
priyakumari.iii,Yes yes yes yes yes yes yes,0
babylusyjhnae,Kiss Or slaap ?,0
araf.exit,This is so cute man!!! & the caption 🔥🔥 HEALED ❤️‍🩹,0
sho.10r,the what of your life brodie?,0
ikarizadeh,I hope JASON will make a film debut someday!,0
astontsang,@porky6678 🥶,0
taco_.3,Was expecting Ron in a wig,0
fv_m05,Ling ling,0
libbyabesamis,@ilogonpaulo “LOML” naman daw. 😫❤️,0
lookahuh,big day for the unemployed,0
oliver_dela_cruzz,🤣🤣🤣BROSKIIII WRRRRFF🔥,0
degalakrish,HOLY HEALSSSSS,0
atvgtr,amazing shot bhaiya!,0
josi_bonilla,kobe and shaq,0
skilletdahomie,I was there mane 😒 hopefully he doesn't get done like I did,0
sharko_012,❤️❤️❤️❤️❤️❤️,0
cande_rahat_09,Cant wait for Tenz & kyedae Wedding arc🔥,0
strofrance,Its us @richoyrosapa,0
3dgar419,MASS HEALED,0
luyckee,Where’s the bunny holding the clock at,0
nophucyuu,hella heals,0
d.rxod,Mom & Dad,0
seedofmustard1720,"Jason, brother, thats what im saying. Keep the ship offline and maybe do a bit here and there for content. Its nice to have someone jason. Dont throw them away for your job.",0
f_dotz,If he can get a girlfriend why can't I,0
stuckongrayscreen,I want to love again so sad,0
j_silva_r,That jacket is fucking fly nbs,0
lowtid3s,bro doesn’t even know the words 😭,0
homerxhaven,This cured my crippling depression,0
garnica.jordan,The 2 goat 🐐 duo,0
jozephyyrr,Jtw you’ve done it again !!!!!,0
thed1d13r,What time you streaming,0
jodecidunick,there’s hope for other Arlingtonians,0
noluvkun,you’re so tired bro😭,0
sandman1245,Mica parents ❤️,0
arrcee._,the live button is waiting big brah,0
alaba__,This is so cute 😍 😍😍,0
