Username,Comment,Likes
b1ssell,We see the grills 😭,0
realist600000,🔥🔥🔥,0
junoflo,🔥🔥,0
tyrellyrn,🔥🙌,0
xeniakassai,This is the coldest thing in years !!!🔥🔥🔥,0
jowti,👏👏,0
masiih.rap,💎👑✝️,0
shay__b__chillin,He so handsome 😍,0
dfw_deznyy,We see da grillz G,0
jah_2fye,50 cent ❌ 50 yen ✅,0
2high2di3,This guy with pop smoke would be a legendary song,0
sean11700rueitt,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥💯💯💯💯💯💯💯💯🔥🙌🙌🙌🙌🙌🔥🔥🔥🔥,0
soulreaper_naman,Honestly bro I am happy you dropped another song or a banger who knows,0
xyfn.lt,anyone remeber the naruto songs ?,0
sal_be_geekin,Is he flexing yen?,0
xfar1d,bussin,0
mxayl33,bro needs to be more famous. music fire,0
carson.williams.jr,Hard watch,0
jetvillain,what sample is used in this beat? It sounds very familiar,0
kennychaojr,🔥🔥🔥,0
young_lin_1127,What toothpaste does he use??,0
zekwifi,"What is that currency, How do you have that many african americans in this country where?",0
finestexecutioner,Sung Jin woo and his shadow soldiers,0
tumiie_21,.🥷❤️‍🔥💯 You are killing it man and ’U go be man of the year’,0
khantrasts.world,THE GOAT,0
blyaatvraibonhome,Schoolboy Q vibe,0
jt.ayotte,Man of the year? Gng u ain’t juice wrld,0
davide.0001,You are just another one Who live in the back of the other people… another little point … 🤢🤮,0
mff.antt,"1,448 likes",0
jsnicholsons,🔥🔥,0
nemogang23k,🔥🔥🔥🔥🔥🔥,0
nthdrtgrhfr_47,🔥🔥,0
nathanmurphy2965,Not bro flexing money we don't even use in the U.S.A,0
j_bugout,Flexing asian money is wild 😭,0
monstrointhestreets,"That beat is sick. It’s sampled, a song I’ve heard before",0
sagy.hairartist,@nba2k put this in 2k26,0
@nba2k,@nba2k put this in 2k26,0
aliouseck2004,👏👏,0
_youenvy.alana,Alr bb we see them 🤧,0
bbmb_223,Them $30 grillzz bro😭,0
f.7fx_,⁨تت⁩,0
danche369,Нехватает золотых фикс,0
ma.br4ndao,Japa é a mema fita,0
davide.0001,Paralisi facciale 🤣,0
sam_stuff_different_day,Proof is 200 bucks of rmb?,0
lin_xi012,🔥🔥🔥🔥🔥,0
_oneaonem,😮‍💨😮‍💨😮‍💨,0
archiveanonymous69,one heart sample so euphoric,0
jademitsuko.jm,Dope 🔥,0
