Username,Comment,Likes
m0neyman.ky,Nba yungsoy 😭,0
onepzy,unc in da back feeling ts😭,0
charlotparis_inks,At least the liquor store owner is feelin’ it! 🕺 🎵,0
zaybang,Nobody can fw YB after this one 😂🔥,0
_otwoo,The store owner looking like dang my dawg snapping You wrote that ?? 😂😂😂,0
therealjonee,His mans so proud in the back😭,0
cole_got_em_hatin,NBAYumYumBoy going crazy ainna! 😂😂😂,0
1kingkem0,Baby this det slime tuneee 💚🎶😹🔥,0
chani_upper_echelon,I never knew half the shit he was saying until right tf now. And a china man taught me 😩,0
sunonymous1,@gaulden.sherhonda 💚💚💚,0
dashiekardash,Close enough you do parties ? My BD birthday coming up in November,0
badgalasiaa_,Everytime I see this I gotta watch the whole thing 😂,0
rewindraps,He hit that shi 😭🔥,0
connor_hanks26,Uncx in the back like yeah we made it😭😭,0
liyahnextdoorr.___,"close enough, so uhh i was thinkin bout bookin you for my birthday in 3 months.. what you think??😭😭",0
fit.ch_ck,He had me at “brothers dying” 🕺🏽,0
q.swav,If he sung this song this beautifully… why do nba youngboy fans annoy me so much???,0
dasudodon,"3,370 likes",0
camtrell_,That “uh” I knew he was gonna kill it after that,0
henley_imhim,💚✅🎄🤑🔫🍀🌲🌴🐸☘️🌿🌱🐢🦖🐛🌳🥝🦎🥗🥦🥒🍏🦜⛳️🦠🥬🚛🧩🐲❎🎍✳️🛶🟩❇️🈯️🪀🩲🪲🫑♻️🦚🐉💹🧃🤮🤢🫛🧑🏻‍🎤🧪,0
privatelifeofkay00,he finna piss me off,0
cxleb.20k,Nevada nba young boy banger,0
reactshon,Brada dyinnn,0
mnee_sybau,Bro I just send this vid before this one,0
owo__jah,🔥🔥🔥 @nbayoungboy.16x,0
jasefww,Yuno ball,0
coachkandaka,Trap Seoul 🎶♥️😆,0
keyraamberia,Damn he know more words than me 🤣,0
shorty_guzman,Brothers Dying had me Crying 😂,0
centurogold,Best translation I ever hear,0
sabrierenee_,Maaan goheaaaad lol,0
krebackbihhh,Hmmm maybe I need to listen to the lyrics more. I like this song now 🔥,0
r3vxmp,NBAWongboy,0
rashad864,@monicalaire you got some comp😭😂,0
heemadisa,That’s me in the back 💚😭,0
eddy4.200,Sing I came thru by nba young boy,0
husseline,Yb #1 fan in china,0
dmv.s1dd,i be wong pho cry🥹,0
9ine109,Nba leeboy💚,0
yeahimwylin,NBA bok choy,0
blacsheepbo,This why rappers hate yb 😭😭😭😭,0
k2qz._,nba yungsook,0
igobywill_,okk denn uncc😭😭,0
rockout_jtt,Thought this shit was AI,0
deeroyy_,yb really the biggest influencer in the world g no cap 🤣,0
uncleluke_7,NBA youngboy would be proud 😂,0
pretty_lin_lin,Is the way he get up from the chair doe lol ling ling felt that soon as beat drop 😂,0
