Username,Comment,Likes
@netflix,maxnotbeer,0
jamesyworld,YOU DID SO WELLL 💗 연락해주세요ㅋㅋㅋㅋ,0
quissy,👏👏👏,0
amandapandasg,The “call me” at the end was gold 😂,0
owlandquill,"마지막에 ’연락해 주세요‘라고 너무 멋있네요 🔥 I’m nowhere as good as you but here’s to hoping, maybe some day. Still working through all the complex yet similar grammar forms!",0
thekthree,Adorable and fun! ✨Were you shaking inside? You did great! ⭐️,0
cafemaddy,This is AMAZING 😍😍😍😍😍,0
kevinwoo_official,👏👏👏,0
thecrunchbros,AMAZING!! 👏👏,0
shanonthestreet,this is so gooood,0
riskitdesign,OBSESSED FOR YOU 👏,0
round_6_2t,THEIR REACTIONS ARE PRICELESS😂,0
thehawkinsreporter,🔥👏🔥,0
inakimieee,Omggg maxxxxxx!!!! 🔥🔥🔥 let’s gooooo!,0
_smi7e_,Love that siwan took a while to register then was shocked when he realised hahah,0
thekoreanvegan,I LOVED THIS!!!!!!!!!!,0
insta.noodls,This is amazing 😍👏👏👏,0
drewfromladue,"this is amazing bro, the reactions are priceless 😭 you crushed this!!!",0
ameliarenee,LJJ’s face gets me EVERY time. i’ve watched this a few just to catch it again 🤭🥲,0
officialyang,their reactions are PRICELESS 😂,0
clarenceeangelo,YESS 🫶🏼🫶🏼,0
iammagicalme,The ‘call me’ was brilliant 😂,0
janeparkang,"SO GOOD, MAX!!!",0
andrewpolo_,i think even if i had ur skills i would bomb the transition to Korean still LOL so good man so so proud of u!!!,0
altoumvu,The call me 😂😂😂,0
001inho,LEE BYUNG HUNS FACE HAAHAHAH,0
lee_minjin,A+,0
silly_jake,Such a flex,0
bbtgurl80,"😍 Loved how you said at the end, “Call me”.",0
alexdwong,Hehehe love this,0
im_ericwang,Insaneeeee,0
dalsooobin,Yay🔥🔥🔥🔥🔥🔥🔥,0
imaincrisis,the cast so glorious they make u wanna learn korean,0
sochourner,translator was a paid actress. literally.,0
madebymusashi,MY HEART IS ALSO FLUTTERING,0
mr.loser_lover_man17,Siwan whipping out his idol English LMAO,0
hollyrpeete,I Love this! This is what my @58robbie does in Japanese!!,0
@58robbie,I Love this! This is what my @58robbie does in Japanese!!,0
flawlesskevin,Call me is real 🤭,0
ewitsclaire14,LMAO LEE JUNG JAE’S REACTION 😂,0
ariadrmwn,"1,359 likes",0
maisuradze.18,Suddenly the translator become useless 😂,0
