Username,Comment,Likes
nordic_lightbringer,Well now I want to taste burdock,0
sbtrella,Is there any chance you could do city tours with foreigners in Seoul? 😅,0
shotz_bymadi,@olliekendal I need this collaboration 😌🫰🏼,0
@olliekendal,@olliekendal I need this collaboration 😌🫰🏼,0
bigdave24_7,In England we have a dandelion and burdock drink so maybe Koreans would like that?,0
kerine_nei,I love foreigners who behave politely. You represent your country very well to the locals.,0
pmntgmry,"키친맘 Kichinmam South Korea, 청담동 31-16번지 1층 2호 강남구 서울특별시 KR",0
pmntgmry,"Love love burdock kimbap but only had the frozen kind one yet that you heat up in the microwave hahah none of the Korean restaurants around me over burdock kimbap, they probably think that the locals here won't like it 🥲 going to South Korea in September and cannot wait to eat all the Korean things I cannot get here in my country!",0
chic.chick.t,Those are little diamonds! Aren’t you lucky to have found it?!,0
_dailystylebook_,"I am so impressed both by your fluency and also how you seem to turn fully Korean in your manners, facial expression and tone of your speech!",0
reallifeheyhey1,❤️,0
joyces.chan,"The first time I ate burdock root as a ban chan, thought it was shredded bamboo shoots. If you like hard, thin stiff celery, you might like it. Pretty fibrous but Hide those Veggies!",0
freee_bea,Okay but can you teach me Korean pleaseeee.. and thank you 👏,0
hollydjohnston,"You are so wholesome to everyone you meet, it is a beautiful thing in this world!",0
ivyhiga,Where is this?!?,0
bbmom22,How long having you been speaking Korean? You speak it so well!,0
theannmcgovern,@maxnotbeer love these videos and the amount of respect and love you show for Korean culture especially as a foreigner- you rock!,0
@maxnotbeer,@maxnotbeer love these videos and the amount of respect and love you show for Korean culture especially as a foreigner- you rock!,0
grace_abby2496,I’m just wondering how did you learn Korean,0
seoulfullymena,Respect! 🫡 grew up speaking korean and it’s so respected my the locals … they really appreciate it,0
urixhong,bruhhhhhh this kimbap is too korean for my korean ass 🤭🤭,0
mocogdill,"Wow, I’m Asian – you get props I do not like burdock at all.",0
norissa.esco,I’m a new follower and I was wondering where and how you learned Korean. I’m trying to learn but it’s hard for me 😭😭,0
ellina.dancer,I’m part Korean and can’t speak it even half as well as you do. I dream of going to visit there and will try some of these places ❤️,0
taehyunn.realestate,우엉 is my favorite too!!,0
yogamamaa,Going to korea soon. Where is this place?,0
thxumi,이거보고 김밥 먹고싶어서 김밥시킴..,0
cakeheavenly3,😍😍😍,0
crystalrocksforever,You sound so good speaking Korean ❤️,0
thatssogeo,This makes meeee hungry 😢😢😍,0
quissy,😍😍,0
myunghee829,I’m Korean and have been living in the States for 47 years. Your Korean impresses me. It’s definitely way better than mine.,0
ashleydeskins1111,Moved to Seoul 7 months ago with my Husbands job. I’ve been trying to learn Korean since being here so that I can make friends and speak with everyone. I’m in my 40’s so my brain doesn’t want to absorb it as quickly as I would like😅 But I watch your videos and I feel like I’ll never be able to speak as beautifully as you do. Your Korean is GOALS🤩🙌🏻 Someday I will get to where you are😅❤️,0
saridewi15,Where is this in seoul??,0
houstonpetson,I feel like I’m watching a k drama,0
aroha_nuna,"맥스~ 친구하자~~~ 난 미국인, 그래서 한국친구 필요~ 🤭",0
ceeeesquared,I strive to speak Korean as well as you.,0
kaleesi704,You are a warrior! I love how your energy carries through other people and you brighten the rooms you enter. Even just watching your last few videos. I felt it. Just felt like this needed to be said.,0
mollyyzhou,I’m on my first week of learning Korean because I want to do research in Seoul and you’re such an inspiration!!! ❤️🫶🏻,0
voyarin,"you keep popping up on my feed and i just want to ask. how did you learn korean? like you understand what is being spoken to you, as a person who (as i understand) doesn’t live there. did you do it yourself or did you hire a tutor?",0
imaneafechkou,Bro why u change the tone 🙂,0
chricriblanchet,Just asking….Is it easy to learn to speak fluent Korean? How many months does it take to speak like you? Thanks🙏☺️,0
seannahibberd,Wow makes me hungry. Lol My I ask how you got so good at Korean?,0
ichirochase,"dude, this just 🔥🙌 good vibes 👌",0
elle_vee,I love this so much ❤️,0
alexapleasepickarandomusername,"""Yeah, so 2/10""",0
spark.watermelon,키친밈도 용서가 되는 대한외국인이시네 😂😍 김밥은 걍 삶이죠 😆 (15개의 오더밀림이 맛잇음을 인정해주네),0
yoozilla,His Korean is so good!,0
nesshex,Dear God that looks delicious! 😍,0
carol_akgol,Just got home from the restaurant I work and now I wanna go there 😢 Tnks 😂😂😂,0
casalugio,😍😍Awww,0
wentcoldd,@maxtrinz hopefully my little pooh Max will become fluent like this Max one day✏️,0
@maxtrinz,@maxtrinz hopefully my little pooh Max will become fluent like this Max one day✏️,0
ginangabulencia,😍❤,0
mrkjmssr,🤤 it's 3.01am. and im hungry 🙃,0
robert.pickett.92,I love burdock in kimbap! It's probably one of my favorite ingredients.,0
grimmkitty84,"What part of Korea do you live in? I used to live there, around the Hongdae area. There are some great places around there!❤️",0
leannaxgalore,"Energy is understood, yours and theirs… ❤️",0
kdee203,So wonderful,0
phoenix_song95,This is so beautiful and wholesome!!!! 🥹 you literally probably made her day,0
yourchieflistener,@maxnotbeer Now I want Korean food 🤓,0
@maxnotbeer,@maxnotbeer Now I want Korean food 🤓,0
vinty.hilfigher995,TIP: THE FAMILY BIZ HOLE IN THE WALLS ALWAYS THE BEST FOOD IS THERE !!!,0
root__gr,"aawwww! what a lovely lady! and i adore how polite and kind you are towards her! next time you visit the place, tell her she had fans abroad and we ll visit her in the future 😍😍",0
kimchibetch,Humbled by your Korean. Jeezus. 👏,0
cindy_newyouwellnessclinic,Your Korean is so good! Very impressive,0
angellacho,You speak better Korean than my husband who is Korean.,0
karthik.anand.5454,❤❤❤❤❤,0
captainniffler,It’s a good sign when they are busy.,0
dangerousdelilah,my best friend just sent me your video and i melted 😭💕💕💕 so wholesome!!! this is so adorable I just can't! 🌷,0
soph.ert260,I swear to god he's so cute omg,0
ina.yi.p,All the people who were involved in the conversation is full of love. ❤❤❤,0
eigh20,"Hi, can you tell me where to find this place? It won’t show up on my Naver app. Thanks",0
mrskayru,He’s so sweet!!,0
youngus8675,Need odeng soup!!,0
janabanayna,Who doesn’t like burdock? 🤤,0
choski00,These types of places are the absolute best.,0
poetry_gardens,How come you have two different voices and tones depending which language you speak (Just like me),0
kellieatk78,I hope to speak Korean as good as you one day 😊,0
