=== POST METADATA ===
Post URL,https://www.instagram.com/reel/CZze5EshBlQ/?utm_source=ig_web_copy_link&igsh=NTc4MTIwNjQ2YQ==
Post Type,reel
Post Caption,"155K likes, 1,018 comments - doobydobap on February 10, 2022: ""247 or 95?

Spam Kimchi Fried Rice 
½ can spam
2 cups day old rice 
1 cup fermented kimchi 
2 eggs 
1 packet of salted seaweed 

Sauce
1 tbsp gochujang 
1 tbsp gochugaru 
2 tbsp soy sauce 
1 tbsp honey 
1 tsp sesame oil 

#kimchifriedrice""."
Post Date,2022-02-10T17:03:33.000Z
Extracted At,2025-12-02 19:37:35

=== COMMENTS ===
Username,Comment,Likes
basesarah2flwr,Yum ty,0
earthsmile,Cheers! 😍,0
buddyprays,Jesus 🤍 you,0
yamacita_rose05,"Tbh, 9-5 so that way you have at least money to save up for your favorite hobby and then make your hobby into a career.",0
largeteo,"9-5 easily, cause then I can enjoy my hobby and relax knowing I can not have to rely on it for money. Having a stable job is very good for your mental health honestly. Dont underestimate post secondary either despite all the criticism it recieves,it is a gateway to a lot of opportunities. I thought trying to start a business and “hustling” was the only way and I ended up just being stressed and broke, developing a serious eating disorder and sinking into depression. I wasted 4 years of my life chasing the “big break”. I realized only now after years that schooling and finding a slightly more mundane job that pays the bills is more valuable for me at least. Thank you Tina, for bringing an excellent point up. Hustling isnt the only way to succeed!",0
fishball297,😮😂,0
navyrneh,95 🥰,0
lorenzo_cuzman,❤️,0
justcashewit,I chop my veg like this with scissors haha,0
pinokio121,❤️❤️❤️❤️❤️,0
reblaus0104,the burp got me 😍 ...also: absolutely agree!,0
jazmin2000,@charlotteeelim,0
@charlotteeelim,jazmin2000,0
y.a.r.a.zz,FRANK OCEAN YASSSAAASSSS,0
the_slient,"Either way. I mean, the food industry keeps evolving and it’s stressful to work a 9-5 but it’s worth it. And you also have to be happy in your craft. Most people aren’t.",0
swedeee,@jiaxi_liang_,0
@jiaxi_liang_,swedeee,0
brandeeno28,"Everyone tells you to do what you love, but no one tells you how to find it",0
kingcorvidx,Gary Vee: bE tHe dIgiTaL mAyOr of ur MaRkEt,0
huesos3508405,the mote i watch .. the more i luv u and ur content.. keep up the great work,0
alecstavros,I got both until @wavesocialapp gets it’s series A 🥶,0
@wavesocialapp,I got both until @wavesocialapp gets it’s series A 🥶,0
cheinelopecruz,San Miguel Beer FTW! 🇵🇭🍺,0
find_me_a_waifu,I love you.,0
olyaaten,Love this recipe! Cooked it 3 times already 😋,0
shayaan_.777,@doobydobap your,0
@doobydobap,@doobydobap your,0
j_fliess,@garyvee. Thoughts??,0
@garyvee,@garyvee. Thoughts??,0
jenashimada,san miguel beer🍻 💯,0
bogdan_adzic,U have rich parents tho,0
monvoyaj,Hey Tina! Where did you get this black midi dress from? I really like its simplicity and would love to get one!,0
shapelessjourneys,@elementily,0
@elementily,shapelessjourneys,0
low_well_negs,San Miguel beer hahah,0
huisjohngalt,247,0
