Username,Comment,Likes
@ayblmen,pathradecha,0
jeremyethier,Love this post and the message dude! 👏,0
mkkluong,The ultimate sleeper build 🔥😮‍💨,0
alexandrosthenics,"You look incredible bro. Screw everyone who says “victim weight”, you make me feel so much more motivated with my current weight 💪🏻",0
pokemike102,"Paving the way for us short and small skeletal build guys 🙌, I’m currently 55kg and 5ft 4, you’ve given me a lot of hope and a goal to work to! I was 60kg but def had way more fat on me than you 😂",0
thejosephabell,Amazing work.,0
_ryan.griffith_,yall saying he only looks like this bc hes short have never went to a gym in there lives. anyone who lifts would know you can’t get to this level of physique without dedication and hard work,0
derek_jr1,"May I ask how tall are u, ur build is solid btw.",0
grxyczyk,Dream physique fr,0
linskeyluxelondon,Great shape but how on earth 61kg that’s crazy! Even at my leanest like 10% bf I was 77kg!,0
skilled_hacker_171,Dude chill man my homie uses this app,0
daaniel.rs,"1,238 likes",0
nathan_cheslek,Average 5ft build,0
javiwasnotheretho,"I love this post, the song, the unique pose and the physique, you truly have inspired me. One thing, those are not narrow clavicals if ive seen so myself, they are pretty wide :)",0
jared_feather,Solid shape,0
