Username,Comment,Likes
kameronsun,So inspirational! 😢,0
daddyelyas,😢😢😢🔥🔥🔥👏👏👏❤️❤️❤️❤️,0
kendrickkim,"I'm late, but you look like you're killing it. Happy holidays.",0
linhtendo64x,"Honestly, you’re a gift to mankind. Content is authentic(at least it feels) and is very cool and entertaining. Can’t believe you’re at 3M🙌🙌",0
miiyyah,I’m not crying you’re crying 🥹,0
pelochulo,Bless yall brother! 🙏,0
matadornutritionandtraining,@pov_husband I know you said this in your video telling your back story about how you're not sure what adventure might be next - but been watching your content and I have a few ideas if you're interested in chatting. Just let me know! 🙌🔥,0
pollybarcena,Beautiful!!❤️❤️So happy for you both! Many blessing from this mom of 4 in ATL!!,0
lily_c1994,Thnx for inviting me over your home to visit that summer. It was so fun,0
mojo_thedude_312,What a man can do when he has a loving and supporting spouse behind him,0
logiko_the_insane,Congratulations. You guys deserve it,0
florin7barbu,"And dedication as a chef,not only Instagram videos",0
florin7barbu,"I am just curious: how many job offers-as a chef of course -did you get since your I. account became so famous? To be more specific,I am talking about your skills",0
florin7barbu,Absolutely and total 👏👏👏👏RESPECT 👏👏👏,0
arr09blas,Blessings ❤️,0
mike_okafor,The Internet made the right person famous,0
cathybsu,Wow this is so beautiful. So glad I found your account. Inspiring 🙏 ❤️🔥,0
thenavirago,🔪 🧅 😭❤️‍🔥❤️‍🔥❤️‍🔥,0
satya_reiki__massage,What unfolds when people are authentic 🙏🏻,0
truthnlogic4,@pov_husband we all love your acct. I started watching you on fb! And oh my goodness! You should be so very proud of yourself! You should teach a masterclass to husbands and Boyfriends. Honestly you are truly amazing! ♥️♥️♥️♥️♥️♥️♥️♥️,0
washidalijafar,More great things to come ❤️,0
jetrueba1,when instagram wins,0
sofiane_djebb,"Positive energy, backup, holding each other..... This is marriage",0
geraldinerero,"Well deserved I‘d say, congrats! So wholesome to see you being there for your family and making this happen.",0
ownerofcerberus,Wow inspiring and absolutely wholesome brings a tear to my eye,0
_carolinahaddad_,This made me so happy for you! Bravo!!! Well deserved!!!❤️,0
lazylilpanda,So sweet and happy for your success,0
steel_city1984,Went from trying to save money to wasting money! Haha,0
