Username,Comment,Likes
minchi_1003,??????? Unfair,0
traveldoc108,Light well fries have been my go to since ive discovered in n out 20 years ago,0
angeltsk,Omg scary!,0
andykkr116,That guy wanted to pork your friend...outside?,0
jbishere,Ur that girl i remember seeing this,0
samerataki,HELL YEAH GREAT NEWS,0
loft_kitties,He is.. Filipino? What is with the “Filipino shit”?,0
wgramirez22,trump supporter no doubt.,0
tle9,Post his face,0
cookinupvibez,wtf!! Which location was this? There wasn’t security onsite?,0
the_observationalist,@innout ban this guy!,0
ad_reef,Nahhh why you guys let that guy do you guys like that. Fk that guy.,0
heyy._.yai,WTFFFFF !!!,0
tephani.e,What’s Elliot’s IG?,0
joy2thewrld003,That’s crazy :0,0
new.england.ambivert,"Just because you can be sarcastic back and joke to strangers doesn’t mean everyone is your friend … you’re lucky you had this on film, the outcome could of been different.",0
zxbzpk,"if he’s ethnic, what’s with the cross pendant??",0
liljuicebar,this made me so mad,0
jbbrzl,The guy should always sit on the outside seat in case the stranger becomes violent. You don't want to be trapped on the inside and get the girl caught in the crossfire.,0
badass_bassist6789,okay yes. wrong. we all know that. but to arrest for saying mean words? nah. that aint it. literally everyone in this comment section should also be arrested then aswell. AGAIN it was wrong yes. but going to jail for saying shit thats just blatently wrong. IS wrong. its the same energy as oh you were a rude cashier at a store so im gunna have you arrested.,0
sujncoolboy,I would have done something bad by now.,0
jay.t_adams,"Elliot mad funny, good composure my dude 😂.",0
kuyajosep,@jtnguyenn tbh I’m throwing hands with no regards to consequences in this scenario,0
_iamskubi,First love ur country and enjoy what u have their why to go out and study when u can study and earn gud amt of living in your own country,0
_kopi0kosong,That nigga better stay in jail,0
abdellah_mokn,"bruh when he said 'i spit on your face' it's the fight sign , u had to stand up for your self as man and ur girl an go f***him up",0
sanctimony1738,"Fuq is wrong with most peeps, can't we all just get along bruh goddamn",0
kennysnowball,Holy shit. What a creeper. I’m sorry that happened to you two.,0
vahanplus,This is sickening,0
triv_x_x,Nah this is just sad man😕,0
orlando.thegreat,I'm not even gay but that's just rude. I have meet rasist people like before,0
erickson_orlando_erijtheartist,"This gets me so heated, wish i was there, i would've done something right away i can't stand people like that. 😠",0
_iamtthew,Bruh this is so fucked up! Why is he acting like he owns the world? Put that man in prison😡,0
isla_k_dunn,"I’m so sorry that happened to you, that is completely unacceptable behaviour, you deserve better. Is that guy eating with you the same person who showed you around UCLA?",0
chen_bolgann,Normalize fighting back; I’ve knocked out a guy like this before,0
saiyan_god07,"Man who's that man insulting u, that shit head. Do Americans not have manners or r they just all meatheads",0
d_mila5951,"It's disgusting. 😕 you guys were eating and nobody asked that ... creature, like...nothing. At all. Who gave him the right to cling to people?🤦‍♀️",0
miki_yema,Did I heard it right Filipino sh!t?😂😂😂,0
cucumber_bro__,"Annoying man who thinks he’s superior because of race, we living in Hitler’s era ??? Grow up",0
ksxdc5,Tired of the hate crime i wouldve just beat the dude ass for comin back,0
realog_777_,Why does he have to question him tho he looks like a happy guy they have done nothing wrong it’s really messed up out here mane godbless you two for being so cool even tho this situation was f##ked up!,0
im_a_person_and_i_have_a_name_,He handled that so well though lol. Like a man. 👏,0
temdeden,Never answer them. Just silence. Don't buy their mouth,0
spooky_zn6,Someone needs to teach him a lesson.,0
ono_food_assassin,I love dumb people. They forget that mfkrs exists. Y’all made the right decision tho. Small suggestion. Bring two mfkrs with you. People tend to leave you alone,0
pogihandsomeboy,This is why it’s always good to just Incase always laugh and smile while knowing kick boxing as a back up in America. Good on your male friend to have good responses but good on you for stopping him.,0
dilldawg13,How racist can someone be. I hope that dude gets jumped.,0
bok_choy_plz,Pew pew pew that 🗑️💩,0
isaacseanlemasters,Bruh is so fragile and weak he gotta try to assert dominance to prove he big … glad y’all are okay — big L men we gotta do better,0
faq1995ca,"LA and the Bay Area have people like this. Completely unhinged. You usually have to ignore them. They’re usually not racist so this was a new experience, sorry you had to experience this form of hate. I’m glad you didn’t allow your friend to fuel the fire some more but sometimes if you’re comfortable with defense you have to fuel the fire",0
