Username,Comment,Likes
aimee_robisky,“I said that out loud and it was fun” had me actually laughing silently in my cubicle,0
missravensland,"""Ppl laughed for real bro"" as the room erupts in laughter. 😂",0
eahn,Lot of Asian ppl see themselves as white adjacent and also go to church. They feel that their parents did it the “right way” and worked hard to so everyone else should. From old to young families I’ve heard this a lot.,0
ajnickell,We’ve moved from crowd work clips to clips about past crowd work,0
_spinswell,"Wok that walk. Let it simmer, marinate, stir fry.",0
chefboymillard,“Are there any republicans here” silence! They didn’t wanna speak up after realizing they are in enemy territory 😂,0
badfish0426,Not just cooked. Rooooassted!!,0
coley013,Got em 😂,0
ireallydonthaveinstagram,Following!!! 👏🏼👏🏼👏🏼👏🏼👏🏼,0
foodnfotoset,As an Asian I approve this msg 😂,0
zylmduber,Me in my head everytime I tell a really funny joke,0
joeroomdoee,Keep cooking em 🍳,0
pantsdance420,"One of the synonyms for ""liberal"" is ""free thinking"". One of the synonyms for ""conservative"" is ""close minded"". That should tell everyone everything right there. But nooooooooo",0
bribri16000,I saw an eco car with a national forest license plate AND a trump sticker AND we were in the Asian market parking lot. I was like bffr (and this was in Idaho so I guess it makes sense lol),0
itsagrahamcracker,Amazing joke. But we have to break this colloquial term of “liberal” to mean leftist. They’re different things.,0
