Username,Comment,Likes
minimum_effort69,Man's so jacked he just added another day to the week,0
ziz.land,Rest In Peace Shoulder and Arm day 🥀,0
dedyreynldi,Thankyou king🙌🙌🙌 how many set in one week for the optimal muscle grwoth king?,0
ig_rajgirid,Do you always do 2 sets of every exercise to achieve that impressive physique? Or did you have a different workout routine before? #. I've been doing 4 sets of 5 different forms but still can't get close.,0
blueboredasf,is this for cut?,0
_neeezar_,My week is 7 days ..😢,0
bastiaanswitters,Is it more benificial to you to do 2 sets per exercise? Always wanted to implement it too,0
lhancer,hi can someone help for day 2 the first one is what workout? it is not clear for me thanks,0
seajossh,Nice king 👑 im going to try your workout plan!!,0
jerseyzxc,Tren💉 Tren💉 Tren💉 Rest💤 Tren💉 Rest💤,0
lin_draws,Do you use fitness app to track the workouts?,0
chanjwy,How many reps in each set?,0
gods_best_clown,"Beginner question here, but what’s the point of doing incline chest press with a machine and immediately following up with incline chest press again but with Smith? Isn’t it redundant. Sincere question.",0
axle_the_1,"That’s a dope split, but wait a min, why u grippin the pole like that on the tricep overhead extensions?",0
