Username,Comment,Likes
megumegu.chan,HOW MUCH DID THAT TUNA COST,0
c4004861,Damitt!! You guys are awesome 😎👍👉👌🤙,0
taluhl,Im pregnant watching this… you have no idea how it hurts…,0
elle_la1ne,But isnt that whole fish like 10 omakases put together?,0
sarahejenobo,"Million dollar babey, and Ethan smiling 😂😂😂 through that part",0
honeyymayyp,I just wanted to be here lol 😂 because omg that’s fire 🔥,0
johanangeflo,"Excuse me, sir, but can I move into you and be your second wife?",0
sushi_sway0820,I love the good job at the end.,0
mariangeorge50,Not the Krispy Kreme hat…😂,0
ryansacrobat,I need some of that Otoro!! おとろが大好き,0
the_blackest_sheep,From then on their bodies were used as thermometers. 🌡️,0
audioelf,I really want to be your wife!!!! Wow!,0
e_virgil03,Just bliss✨✨,0
suzwalsangroula,I’ll like to be a dog in the house,0
kentishrose,That spray had me in stitches 😂,0
nick_hollister.tx,She's finally pleased,0
austin.collier.16,Sushi is cooked fish and sashimi is raw fish. Sashimi is the best.,0
austin.collier.16,Omg isn’t that a five thousand dollar piece of tuna?,0
liltoshiba21,All I see is raw fish,0
saikopoker,I wanna be in your family member 😂,0
gil.dewinter,What do you do with all the extra fish though? Freeze it?,0
vutangforever,That tuna collar 🔥🔥,0
chihirochikuwa,兄貴、心から尊敬します！ （私は寿司学校を卒業しています）,0
c.soly,That was beautiful 😮❤️🔥,0
iamronitys,@pov_husband please start including your receipt for how much you spend on supplies and ingredients. You’re just so amazing!! ⭐️,0
thewriteedits,The Krispy Kreme hat is amazing and diabolical all at the same time 😂,0
liltoshiba21,Why yall eat raw meat,0
tkno777,Bro rs butchering a fish in his house,0
lorna_and_not_the_cookie,Gotta be kiddin’ me😆I hope you invited the neighborhood🤩,0
laterfader,That is wild 😂,0
billygraham1975,Who TF are you bro?! You're amazing.,0
arissb4three3,Where did yall find this big fish ? That’s a big fish,0
natimaartins,Que deliciaaaaaaaaa um sonho um atumzao desses,0
hsstreet66,Ok the Krispy Kreme hat is tearing me up😂😂😂😂😂 !!!!,0
monparada,"...........""good job""....",0
trifankitelecom,Кто моет кухню потом ?😂😂😂,0
jweirdo_,That Tuna was like 1500 😂,0
aligonzalz89,Jaja god job . 😄,0
kohidog,Holy crap. Im salivating,0
waikiki_wrangler,@junyupp 주녀바 잠들때마다 보고 이거 먹는꿈꿔,0
kayla.m.lepore,Slowly obsessing over you two! Omg you guys are awesome!,0
darrendevelops,I need an invite,0
zeromercury,"A question, how are they so thin with all that they eat? 😂😂😂😂",0
_cinderelly._,It's the Krispy Kreme hat for me 🍣,0
piihonua_808,"Aloha from Pi'ihonua-Hilo, Hawaii. Yeah, make sushi and Po'ke and fry up some then just cut what is left in big pieces, place it in ziploc freezer bags. wrap that in paper, then foil. Just freeze it!",0
kiyoshi.oo,That fish was definitely more expensive than a whole sushi meal 😭🙏,0
funkounkohawaii,Das one beautiful Ahi🤙🏽🤙🏽🤙🏽,0
vjamous,Wow amazing,0
jiminydrambuie,"I'm pretty sure that's like, at least a $20-40k fish. Something tells me spending a couple hundred bucks on Omakase would be a savings 😂😂😂",0
ginagalo.re,Her Good job at the end 🥺🤍,0
me_quedo_un_rato,Yo quiero un marido así!!! 😭,0
knightenlucas,The drink at the beginning had me hooked!,0
fix_its,Loved watching this - fascinating 🙌,0
nolanbaily,Good thing he didn’t overdo it,0
avada_kedavara1,The way she told him “good job” melted my heart man i wish i had someone that loved and believed in me wholeheartedly like that 🥹,0
kifurin,I like jump in the video to Sampo that looks so Ono delicious!,0
michaelpegueros,Krispy Kreme hat... Hello kitty slippers ... Home made fresh wasabi.... An entire tuna fish.... I like it 😂,0
microfrenchies,Yoooo @soballeru I don’t there is a chef out there that makes a million dolllars annually without owning a restaurant… think about it 😮😮😍 👏 👏,0
zakura_marie_b,"Yo también quiero ese sueño, Sr. Pool😮😮😮",0
pookiestylecook,This is insane !!! 😮,0
licelotte_03,@patriciaapena ven a ver 🤦🏻‍♀️🤣🤣🤣,0
jackie.shea.79,"OMG, I’m in heaven right now!",0
imnael777,Tell me you are rich without telling me that you are rich 🥲,0
